GIP_GXP,TRADING_DATE,TRADING_PERIOD,PRICE
OTA2201,7/01/07,29,23.24
OTA2201,7/01/07,30,23.04
OTA2201,7/01/07,31,23.19
OTA2201,7/01/07,32,31.62
OTA2201,7/01/07,33,26.75
OTA2201,7/01/07,34,26.69
OTA2201,7/01/07,35,35.76
OTA2201,7/01/07,36,28.07
OTA2201,7/01/07,37,28.07
OTA2201,7/01/07,38,31.4
OTA2201,7/01/07,39,28.07
OTA2201,7/01/07,40,28.07
OTA2201,7/01/07,41,28.07
OTA2201,7/01/07,42,29.12
OTA2201,7/01/07,43,30.44
OTA2201,7/01/07,44,31.61
OTA2201,7/01/07,45,34
OTA2201,7/01/07,46,27.88
OTA2201,7/01/07,47,27.21
OTA2201,7/01/07,48,27.18
OTA2201,8/01/07,1,26.4
OTA2201,8/01/07,2,26.02
OTA2201,8/01/07,3,25.76
OTA2201,8/01/07,4,26.39
OTA2201,8/01/07,5,28.12
OTA2201,8/01/07,6,28.01
OTA2201,8/01/07,7,28.44
OTA2201,8/01/07,8,28.44
OTA2201,8/01/07,9,28.44
OTA2201,8/01/07,10,28.14
OTA2201,8/01/07,11,28.12
OTA2201,8/01/07,12,28.41
OTA2201,8/01/07,13,30.66
OTA2201,8/01/07,14,31.05
OTA2201,8/01/07,15,32.17
OTA2201,8/01/07,16,20.93
OTA2201,8/01/07,17,20.89
OTA2201,8/01/07,18,22.88
OTA2201,8/01/07,19,23.24
OTA2201,8/01/07,20,23.7
OTA2201,8/01/07,21,28.16
OTA2201,8/01/07,22,27.79
OTA2201,8/01/07,23,28.3
OTA2201,8/01/07,24,34.95
OTA2201,8/01/07,25,35.36
OTA2201,8/01/07,26,35.78
OTA2201,8/01/07,27,35.63
OTA2201,8/01/07,28,35.66
OTA2201,8/01/07,29,36.17
OTA2201,8/01/07,30,36.29
OTA2201,8/01/07,31,35.61
OTA2201,8/01/07,32,34.86
OTA2201,8/01/07,33,35.66
OTA2201,8/01/07,34,34.52
OTA2201,8/01/07,35,34.63
OTA2201,8/01/07,36,34.86
OTA2201,8/01/07,37,20.89
OTA2201,8/01/07,38,20.85
OTA2201,8/01/07,39,20.83
OTA2201,8/01/07,40,20.83
OTA2201,8/01/07,41,20.81
OTA2201,8/01/07,42,20.94
OTA2201,8/01/07,43,21.59
OTA2201,8/01/07,44,21.07
OTA2201,8/01/07,45,31.06
OTA2201,8/01/07,46,25.48
OTA2201,8/01/07,47,20.29
OTA2201,8/01/07,48,19.62
OTA2201,9/01/07,1,21.41
OTA2201,9/01/07,2,20.97
OTA2201,9/01/07,3,20.49
OTA2201,9/01/07,4,24.1
OTA2201,9/01/07,5,24.47
OTA2201,9/01/07,6,28.72
OTA2201,9/01/07,7,28.42
OTA2201,9/01/07,8,28.42
OTA2201,9/01/07,9,28.42
OTA2201,9/01/07,10,28.42
OTA2201,9/01/07,11,31.41
OTA2201,9/01/07,12,28.77
OTA2201,9/01/07,13,32.09
OTA2201,9/01/07,14,29.42
OTA2201,9/01/07,15,30.93
OTA2201,9/01/07,16,23.05
OTA2201,9/01/07,17,30.62
OTA2201,9/01/07,18,36.64
OTA2201,9/01/07,19,39.79
OTA2201,9/01/07,20,39.94
OTA2201,9/01/07,21,40.72
OTA2201,9/01/07,22,39.79
OTA2201,9/01/07,23,41.07
OTA2201,9/01/07,24,41.04
OTA2201,9/01/07,25,41.13
OTA2201,9/01/07,26,40.84
OTA2201,9/01/07,27,41.05
OTA2201,9/01/07,28,41.04
OTA2201,9/01/07,29,40.85
OTA2201,9/01/07,30,38.58
OTA2201,9/01/07,31,38.9
OTA2201,9/01/07,32,38.89
OTA2201,9/01/07,33,38.9
OTA2201,9/01/07,34,38.9
OTA2201,9/01/07,35,40.33
OTA2201,9/01/07,36,40.37
OTA2201,9/01/07,37,40.52
OTA2201,9/01/07,38,40.46
OTA2201,9/01/07,39,38.81
OTA2201,9/01/07,40,37.37
OTA2201,9/01/07,41,35.35
OTA2201,9/01/07,42,31.96
OTA2201,9/01/07,43,31.61
OTA2201,9/01/07,44,33.27
OTA2201,9/01/07,45,28.97
OTA2201,9/01/07,46,31.69
OTA2201,9/01/07,47,34.57
OTA2201,9/01/07,48,34.46
OTA2201,10/01/07,1,27.58
OTA2201,10/01/07,2,27.43
OTA2201,10/01/07,3,35.73
OTA2201,10/01/07,4,36.94
OTA2201,10/01/07,5,28.56
OTA2201,10/01/07,6,29.2
OTA2201,10/01/07,7,29.51
OTA2201,10/01/07,8,29.51
OTA2201,10/01/07,9,28.51
OTA2201,10/01/07,10,28.03
OTA2201,10/01/07,11,29.43
OTA2201,10/01/07,12,29.57
OTA2201,10/01/07,13,38.89
OTA2201,10/01/07,14,39.36
OTA2201,10/01/07,15,39.36
OTA2201,10/01/07,16,40.85
OTA2201,10/01/07,17,45.44
OTA2201,10/01/07,18,41.18
OTA2201,10/01/07,19,41.17
OTA2201,10/01/07,20,40.38
OTA2201,10/01/07,21,40.6
OTA2201,10/01/07,22,41.92
OTA2201,10/01/07,23,44.68
OTA2201,10/01/07,24,45.26
OTA2201,10/01/07,25,44.14
OTA2201,10/01/07,26,43.95
OTA2201,10/01/07,27,44.32
OTA2201,10/01/07,28,40.73
OTA2201,10/01/07,29,39.54
OTA2201,10/01/07,30,39.83
OTA2201,10/01/07,31,41.35
OTA2201,10/01/07,32,41.01
OTA2201,10/01/07,33,36.64
OTA2201,10/01/07,34,36.69
OTA2201,10/01/07,35,34.19
OTA2201,10/01/07,36,33.33
OTA2201,10/01/07,37,33.15
OTA2201,10/01/07,38,29.54
OTA2201,10/01/07,39,26.89
OTA2201,10/01/07,40,26.96
OTA2201,10/01/07,41,26.88
OTA2201,10/01/07,42,29.75
OTA2201,10/01/07,43,35.82
OTA2201,10/01/07,44,31.76
